,EX_rib__D_e_i,EX_malt_e_i,EX_melib_e_i,EX_tre_e_i,EX_fru_e_i,EX_gal_e_i,EX_ac_e_i,EX_lac__D_e_i,EX_succ_e_i,EX_pyr_e_i,GR_1,GR_2,GR_3,GR_4,GR_5,GR_6,GR_7,GR_8,GR_AVG,GR_STD
21,0,1,1,0,0,1,0,0,0,0,0.3833111344731514,0.32769373658589707,,0.38269442184552427,0.38078920171495084,0.3724134065315118,0.3646648289503341,0.37027557459193944,0.3688346149561869,0.019448303744082945
22,1,0,0,0,0,0,0,1,0,1,,0.1688759581039976,0.20540910319279151,,0.1552994880894578,,,,0.17652818312874896,0.025916419357680107
23,0,0,1,0,0,0,1,1,0,0,,0.11940279572611176,0.1975161078231759,,,,,,0.15845945177464382,0.05523445268477523
24,0,0,0,0,0,0,0,1,1,1,,0.19819471891045673,,0.14120971642494518,0.1805319448755862,0.13172166290523493,0.12874579744331513,0.14262117425055013,0.15383750246834804,0.028580157192070802
25,0,0,0,0,0,1,0,1,1,0,0.18413869153046541,0.17682712869568318,0.16516704994239306,,0.2119120984958908,0.15747557884541527,0.21833036351388507,0.20707156333742643,0.18870321062302278,0.023961111022752734
26,0,1,0,0,0,0,0,1,1,0,,0.14394358153657388,0.1709723826023192,0.15362312646115697,0.19594411787611138,0.16286361256732804,,,0.1654693642086979,0.019808309068200053
27,0,0,0,0,1,1,1,0,0,0,,0.1756040225795174,0.17302672445459835,0.1347111958367762,0.20578246570235723,0.15276625834657387,0.18173984003966037,,0.17060508449324727,0.024490323040240094
28,1,0,0,1,0,0,0,0,0,1,0.20943077564765686,0.1810876543679102,,0.2183620129459724,0.20830571140601045,0.20936140395657268,0.24605605451540868,0.23572932282209919,0.21547613366594723,0.02106169614164701
29,0,0,0,0,1,0,0,1,0,1,0.15790609350158535,0.1709116853806538,0.14882303055648965,0.1484706469280153,0.1288271586315125,0.17453274242511582,,,0.15491189290389543,0.01678638489324721
30,1,0,0,1,0,0,1,0,0,0,,,0.2956742243830324,0.302384719200865,,0.3088884783234832,0.3019311492943802,,0.3022196428004402,0.005398343826686021
