,EX_rib__D_e_i,EX_malt_e_i,EX_melib_e_i,EX_tre_e_i,EX_fru_e_i,EX_gal_e_i,EX_ac_e_i,EX_lac__D_e_i,EX_succ_e_i,EX_pyr_e_i,GR_1,GR_2,GR_3,GR_4,GR_5,GR_6,GR_7,GR_8,GR_AVG,GR_STD
0,0,0,0,0,0,1,0,0,0,0,0.1690770971250194,0.1584858647577462,0.1614973200491525,0.189293581670698,,,,,0.169588465900654,0.0138718837805624
1,0,0,0,0,1,0,0,0,0,0,0.1125418441283586,0.1375096162265672,0.1618872479802446,0.1241155170606327,,,,,0.1340135563489508,0.0211988264396982
2,0,1,0,0,0,0,0,0,0,0,,,0.1845924036474995,0.1821403404863144,,,0.1989777345919232,,0.1885701595752457,0.0090962281596515
3,0,0,1,0,0,0,0,0,0,0,0.2349777170598987,,0.1629759489805543,,,,,,0.1989768330202265,0.0509129384663255
4,0,0,0,0,0,0,0,0,0,1,0.0675415919396715,0.07002718815428,0.077355807127185,0.0767342147963758,0.0641982081156854,0.0615761613697735,0.0823606724476586,0.0761083512315797,0.0719877743977762,0.0072566433091626
5,0,0,0,0,0,0,1,0,0,0,0.1251508540607347,0.0925633942398757,0.0976631056373232,0.0836479757565721,0.0778004139820164,0.0801470704826572,,0.0899555803651849,0.0924183420749092,0.0160530286585579
6,0,0,0,0,0,0,0,1,0,0,0.1157763955889132,0.0880517089095843,0.0998163523238255,,0.0834049870683294,0.0683658125319492,0.0733513544057652,,0.0881277684713945,0.0175057552729865
7,1,0,0,0,0,0,0,0,0,0,,0.0945031581742681,0.0907963031722447,0.0893798882568673,0.0804767683857304,0.1040785546250908,0.0806619290258035,,0.0899827669400008,0.0089150714996376
8,0,0,0,1,0,0,0,0,0,0,0.2875444277010042,0.1685304398317684,0.1602796150369856,,,,,0.1790558620332477,0.1988525861507514,0.0596251057337788
9,0,0,0,0,0,0,0,0,1,0,0.0935552960128736,,,0.1158423535447132,0.0976753432982299,0.1144776289489453,,,0.1053876554511905,0.0114223876523083
