,EX_rib__D_e_i,EX_malt_e_i,EX_melib_e_i,EX_tre_e_i,EX_fru_e_i,EX_gal_e_i,EX_ac_e_i,EX_lac__D_e_i,EX_succ_e_i,EX_pyr_e_i
1,1,0,0,1,0,0,0,1,0,1
2,1,0,0,0,1,1,0,0,1,0
3,0,0,1,0,0,0,1,1,1,0
4,0,1,0,0,1,0,0,1,0,1
5,1,0,1,1,0,0,0,0,0,1
6,1,1,0,1,0,0,0,0,1,0
7,0,0,0,0,1,1,1,0,0,1
8,0,1,0,0,1,0,1,0,0,1
9,1,1,0,0,0,1,1,0,0,0
10,1,0,1,1,0,0,0,0,1,0
11,1,0,0,1,1,0,0,0,1,0
12,1,0,0,0,0,1,1,0,1,0
13,0,0,0,1,1,1,0,0,1,0
14,0,0,0,1,0,1,1,0,1,0
15,0,1,1,0,0,1,0,1,0,0
16,0,0,0,0,1,0,1,0,1,1
17,0,0,0,1,0,1,1,0,0,1
18,0,1,1,1,0,0,0,1,0,0
19,0,1,0,1,0,0,0,1,0,1
20,0,0,1,0,0,0,1,1,0,1
21,0,1,0,0,0,1,0,0,1,1
22,0,0,1,1,0,0,0,0,1,1
23,0,0,0,1,1,1,1,0,0,0
24,1,0,1,1,1,0,0,0,0,0
25,1,0,0,0,1,0,1,1,0,0
26,0,1,0,0,0,0,1,1,0,1
27,0,0,1,1,1,1,0,0,0,0
28,1,0,1,0,0,1,0,1,0,0
29,1,0,0,1,1,1,0,0,0,0
30,0,0,1,0,0,1,1,0,1,0
31,1,0,0,0,1,1,0,1,0,0
32,1,1,0,1,0,1,0,0,0,0
33,1,1,1,0,0,0,0,0,0,1
34,1,1,0,0,1,0,0,0,1,0
35,1,0,0,1,0,0,1,1,0,0
36,0,0,1,0,0,1,1,1,0,0
37,1,0,1,0,1,0,0,1,0,0
38,0,1,1,1,0,0,0,0,1,0
39,0,1,1,1,1,0,0,0,0,0
40,0,0,0,0,1,0,0,1,1,1
41,0,0,0,0,0,1,1,1,0,1
42,0,1,0,1,1,0,0,0,0,1
43,0,0,1,1,1,0,0,0,0,1
44,0,1,1,0,1,0,0,1,0,0
45,0,0,0,1,0,1,0,1,1,0
46,1,0,1,0,0,0,0,1,0,1
47,1,1,1,0,0,0,1,0,0,0
