EX_pi_e_i,EX_co2_e_i,EX_fe3_e_i,EX_h_e_i,EX_mn2_e_i,EX_fe2_e_i,EX_zn2_e_i,EX_mg2_e_i,EX_ca2_e_i,EX_ni2_e_i,EX_cu2_e_i,EX_sel_e_i,EX_cobalt2_e_i,EX_h2o_e_i,EX_mobd_e_i,EX_so4_e_i,EX_nh4_e_i,EX_k_e_i,EX_na1_e_i,EX_cl_e_i,EX_o2_e_i,EX_tungs_e_i,EX_slnt_e_i,EX_glyc_e_i,EX_ala__L_e_i,EX_pro__L_e_i,EX_thr__L_e_i,EX_gly_e_i,EX_rib__D_e_i,EX_malt_e_i,EX_melib_e_i,EX_tre_e_i,EX_fru_e_i,EX_gal_e_i,EX_ac_e_i,EX_lac__D_e_i,EX_succ_e_i,EX_pyr_e_i,GR_AVG
2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.84E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.169588466
2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.70E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.134013556
2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,0.00E+00,2.96E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.18857016
2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,0.00E+00,0.00E+00,2.92E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.198976833
2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.53E+00,0.071987774
2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.092418342
2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.38E+00,0.00E+00,0.00E+00,0.088127768
2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,6.03E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.089982767
2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,0.00E+00,0.00E+00,0.00E+00,2.76E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.198852586
2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.105387655
2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,0.00E+00,0.00E+00,2.63E+00,0.00E+00,0.00E+00,4.74E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.268063388
2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.65E+01,0.157565361
2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,2.20E+00,0.00E+00,0.00E+00,1.49E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.64E+00,0.00E+00,0.00E+00,0.120922381
