"EX_pi_e_i","EX_co2_e_i","EX_fe3_e_i","EX_h_e_i","EX_mn2_e_i","EX_fe2_e_i","EX_zn2_e_i","EX_mg2_e_i","EX_ca2_e_i","EX_ni2_e_i","EX_cu2_e_i","EX_sel_e_i","EX_cobalt2_e_i","EX_h2o_e_i","EX_mobd_e_i","EX_so4_e_i","EX_nh4_e_i","EX_k_e_i","EX_na1_e_i","EX_cl_e_i","EX_o2_e_i","EX_tungs_e_i","EX_slnt_e_i","EX_gal_e_i","EX_glc__D_e_i","WT","AlsR","AppY","ArcA","ArgR","AscG","BasR","BolA","CpxR","Cra","CreB","CsgD","CspA","CysB","CytR","DcuR","EvgA","FadR","FhlA","Fis","FliZ","Fur","GadE","GadW","GadX","GcvA","GlcC","GlpR","HdfR","IclR","IdnR","KdgR","LldR","LrhA","Lrp","MarA","MarR","Mlc","ModE","NagC","NarL","NarP","NsrR","NtrC","OmpR","OxyR","PdhR","PhoB","PrpR","PurR","QseB","RcsB","Rob","RutR","SdiA","SoxR","SoxS","TdcA","TdcR","TorR","UvrY","UxuR","YdeO","RpoN","ACKr_rev","ACONTa_for","ACONTb_for","BIOMASS_Ec_iML1515_core_75p37M","CS","EDA","EDD","ENO_for","EX_ac_e_o","EX_gal_e_i_MEASURE","EX_glc__D_e_i_MEASURE","FBA_for","FUM_for","GAPD_for","GND","ICDHyr_for","ICL","MALS","MDH_for","ME1","PDH","PFK","PGI_for","PGK_rev","PGM_rev","PPC","PPCK","PTAr_for","PYK","SUCDi","TALA_for"
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.11,1.48,1.48,0.18,1.48,0.26,0.26,3.22,0.11,2,0,1.61,1.18,3.5,0.35,0.53,0.95,0.95,2.09,0.04,2.98,1.61,1.48,3.5,3.5,0.45,0.74,0.11,3.34,1.18,0.11
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.03,1.4,1.4,0.19,1.4,0.2,0.2,3.27,0.03,2.26,0,1.68,1.09,3.57,0.37,0.32,1.09,1.09,2.18,0,2.99,1.68,1.54,3.57,3.57,0.49,0.92,0.03,3.51,1.09,0.12
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.15,1.36,1.36,0.18,1.36,0.13,0.13,3.09,0.15,2.64,0,1.59,1.1,3.34,0.41,0.27,1.1,1.1,2.16,0.04,3.01,1.59,1.4,3.34,3.34,0.39,0.9,0.15,3.45,1.1,0.13
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.04,1.94,1.94,0.18,1.94,0.32,0.32,3.42,0.04,2.08,0,1.69,1.67,3.68,0.22,0.91,1.03,1.03,2.67,0.03,3.41,1.69,1.63,3.68,3.68,0.38,0.82,0.04,3.68,1.67,0.07
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,2.3,2.3,0.18,2.3,0.14,0.14,4.21,0.05,2.65,0,2.17,1.99,4.5,0.43,1.12,1.18,1.18,3.09,0.08,3.99,2.17,1.99,4.5,4.5,0.57,1.03,0.05,4.48,1.99,0.14
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,2.21,2.21,0.18,2.21,0.2,0.2,4.11,0.05,2.55,0,2.08,1.89,4.41,0.46,1.28,0.93,0.93,2.76,0.06,3.66,2.08,1.89,4.41,4.41,0.7,0.9,0.05,4.13,1.89,0.15
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.04,1.43,1.43,0.2,1.43,0.14,0.14,3.31,0.04,2.13,0,1.72,1.13,3.6,0.44,0.37,1.07,1.07,2.16,0.05,3.01,1.72,1.54,3.6,3.6,0.41,0.8,0.04,3.51,1.13,0.15
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.01,1.48,1.48,0.19,1.48,0.04,0.04,3.34,0.01,2.04,0,1.76,1.19,3.62,0.49,0.67,0.93,0.93,2,0,2.74,1.76,1.54,3.62,3.62,0.43,0.62,0.01,3.35,1.19,0.16
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,1.57,1.57,0.16,1.57,0.1,0.1,3.22,0.05,1.97,0,1.69,1.3,3.48,0.31,0.51,1.06,1.06,2.3,0.06,3.07,1.69,1.57,3.48,3.48,0.4,0.84,0.05,3.51,1.3,0.1
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.93,1.57,1.57,0.34,1.57,0.09,0.09,5.89,0.92,4.09,0,3.16,1.04,6.42,0.64,1.44,0.14,0.14,0.83,0.35,3.46,3.16,2.92,6.42,6.42,1.65,0.31,0.93,4.24,1.04,0.21
