v1,v2,v3,v4,v5
0.1,0,0,0,0
0.1,0.07366999,0,0,0
0.1,0.07366999,0.2040719945,0.05920120396,0
0.1,0.07366999,0.2040719945,0.05920120396,0.05920120396
0.1,0.117283511,0.2040719945,0.05920120396,0.05920120396
0.1,0.117283511,0.3248850721,0.09424902947,0.05920120396
0.1,0.117283511,0.3248850721,0.09424902947,0.09424902947
0.1,0.1431032406,0.3248850721,0.09424902947,0.09424902947
0.1,0.1431032406,0.3964078687,0.1149977641,0.09424902947
0.1,0.1431032406,0.3964078687,0.1149977641,0.1149977641
0.1,0.1583888313,0.3964078687,0.1149977641,0.1149977641
0.1,0.1583888313,0.4387502253,0.1272812649,0.1149977641
0.1,0.1583888313,0.4387502253,0.1272812649,0.1272812649
0.1,0.1674380851,0.4387502253,0.1272812649,0.1272812649
0.1,0.1674380851,0.4638174102,0.1345532452,0.1272812649
0.1,0.1674380851,0.4638174102,0.1345532452,0.1345532452
0.1,0.1727953523,0.4638174102,0.1345532452,0.1345532452
0.1,0.1727953523,0.4786574855,0.1388583451,0.1345532452
0.1,0.1727953523,0.4786574855,0.1388583451,0.1388583451
0.1,0.1759669189,0.4786574855,0.1388583451,0.1388583451
0.1,0.1759669189,0.4874429887,0.1414070161,0.1388583451
0.1,0.1759669189,0.4874429887,0.1414070161,0.1414070161
0.1,0.1778445246,0.4874429887,0.1414070161,0.1414070161
0.1,0.1778445246,0.4926441124,0.14291586,0.1414070161
0.1,0.1778445246,0.4926441124,0.14291586,0.14291586
0.1,0.1789560897,0.4926441124,0.14291586,0.14291586
0.1,0.1789560897,0.4957232403,0.1438091137,0.14291586
0.1,0.1789560897,0.4957232403,0.1438091137,0.1438091137
0.1,0.1796141497,0.4957232403,0.1438091137,0.1438091137
0.1,0.1796141497,0.497546121,0.1443379307,0.1438091137
0.1,0.1796141497,0.497546121,0.1443379307,0.1443379307
0.1,0.1800037291,0.497546121,0.1443379307,0.1443379307
0.1,0.1800037291,0.4986252884,0.1446509967,0.1443379307
0.1,0.1800037291,0.4986252884,0.1446509967,0.1446509967
0.1,0.1802343648,0.4986252884,0.1446509967,0.1446509967
0.1,0.1802343648,0.4992641685,0.1448363356,0.1446509967
0.1,0.1802343648,0.4992641685,0.1448363356,0.1448363356
0.1,0.1803709039,0.4992641685,0.1448363356,0.1448363356
0.1,0.1803709039,0.4996423931,0.1449460584,0.1448363356
0.1,0.1803709039,0.4996423931,0.1449460584,0.1449460584
