r2,iteration
-41.2938,1
-44.88428,10
-41.622887,20
-38.028328,30
-34.197414,40
-30.28963,50
-26.648201,60
-23.393784,70
-20.3738,80
-17.549166,90
-14.981159,100
-12.710041,110
-10.653084,120
-8.769952,130
-7.1864376,140
-5.9445295,150
-5.0733347,160
-4.5640144,170
-4.398797,180
-4.508512,190
-4.797481,200
-5.1354904,210
-5.377668,220
-5.4252443,230
-5.255206,240
-4.8789515,250
-4.3360195,260
-3.7093353,270
-3.0772529,280
-2.5115273,290
-2.053751,300
-1.7182553,310
-1.495836,320
-1.3644683,330
-1.2946498,340
-1.255224,350
-1.2216418,360
-1.1751428,370
-1.1025105,380
-0.99780095,390
-0.8620882,400
-0.7035332,410
-0.53160703,420
-0.35604537,430
-0.18804502,440
-0.038614154,450
0.08923614,460
0.1963709,470
0.28302568,480
0.34970456,490
0.40049487,500
0.4402448,510
0.47567904,520
0.5093624,530
0.5423976,540
0.57411885,550
0.604304,560
0.63229793,570
0.6590047,580
0.683612,590
0.70527357,600
0.72438014,610
0.7420298,620
0.75793535,630
0.77395123,640
0.7909818,650
0.80798817,660
0.82381535,670
0.8371964,680
0.8479531,690
0.85637474,700
0.8629315,710
0.86766654,720
0.87029225,730
0.8706685,740
0.86954004,750
0.86810166,760
0.86675084,770
0.86602587,780
0.8663089,790
0.8681809,800
0.87184227,810
0.8763896,820
0.88214445,830
0.88901967,840
0.89673567,850
0.9048207,860
0.9123805,870
0.91880816,880
0.92391515,890
0.92787015,900
0.9309036,910
0.93334,920
0.93521243,930
0.9370076,940
0.93917924,950
0.94198805,960
0.9451365,970
0.94821566,980
0.9513302,990
0.95436835,1000
0.95669776,1010
0.9584576,1020
0.9598407,1030
0.9607192,1040
0.9609918,1050
0.9605522,1060
0.9597547,1070
0.9593755,1080
0.95954466,1090
0.9599307,1100
0.96049494,1110
0.9612388,1120
0.9623326,1130
0.9636699,1140
0.96522623,1150
0.96698946,1160
0.96871334,1170
0.97029805,1180
0.9717382,1190
0.9730191,1200
0.97412324,1210
0.9750328,1220
0.97564214,1230
0.97585654,1240
0.97576,1250
0.97548646,1260
0.9752011,1270
0.975101,1280
0.9753535,1290
0.976042,1300
0.9770179,1310
0.9780934,1320
0.9791809,1330
0.98028857,1340
0.98138213,1350
0.9823248,1360
0.9830548,1370
0.983587,1380
0.9839125,1390
0.9840543,1400
0.9840863,1410
0.9840981,1420
0.9841612,1430
0.98430866,1440
0.9845321,1450
0.98479676,1460
0.9850971,1470
0.98536557,1480
0.9855678,1490
0.9857326,1500
0.9858602,1510
0.9859628,1520
0.9860695,1530
0.986205,1540
0.9863806,1550
0.98659384,1560
0.9868394,1570
0.9871362,1580
0.98748744,1590
0.9878484,1600
0.9882238,1610
0.98864156,1620
0.98909,1630
0.98958105,1640
0.99009115,1650
0.99051815,1660
