r2,iteration
1.0,1
-1.4615753,10
-6.0332723,20
-12.140058,30
-5.2741375,40
-1.7788036,50
-1.6846077,60
-1.3814602,70
-0.55967915,80
-0.1166178,90
0.045836985,100
0.20515901,110
0.36478615,120
0.46992588,130
0.53935045,140
0.5986836,150
0.648721,160
0.68711025,170
0.7175734,180
0.7433485,190
0.76508766,200
0.78323,210
0.79866743,220
0.81205547,230
0.82371724,240
0.83392435,250
0.8429487,260
0.8509948,270
0.8582073,280
0.86470723,290
0.8705996,300
0.8759682,310
0.8808807,320
0.8853941,330
0.88955635,340
0.89340806,350
0.89698344,360
0.90031165,370
0.90341806,380
0.90632457,390
0.9090501,400
0.9116114,410
0.914023,420
0.9162979,430
0.91844755,440
0.9204821,450
0.9224107,460
0.9242415,470
0.9259817,480
0.92763805,490
0.9292166,500
0.93072253,510
0.93216085,520
0.9335362,530
0.93485236,540
0.9361133,550
0.9373224,560
0.93848264,570
0.9395972,580
0.94066846,590
0.941699,600
0.9426911,610
0.9436468,620
0.94456804,630
0.9454566,640
0.9463142,650
0.9471424,660
0.9479427,670
0.9487162,680
0.94946444,690
0.9501885,700
0.95088947,710
0.9515685,720
0.9522264,730
0.9528642,740
0.9534828,750
0.9540829,760
0.95466536,770
0.9552309,780
0.9557802,790
0.95631385,800
0.9568326,810
0.95733684,820
0.9578273,830
0.95830464,840
0.9587691,850
0.9592213,860
0.9596617,870
0.96009076,880
0.96050894,890
0.9609165,900
0.96131396,910
0.96170163,920
0.96207976,930
0.9624488,940
0.9628091,950
0.9631609,960
0.9635043,970
0.9638399,980
0.9641678,990
0.96448815,1000
0.9648013,1010
0.96510756,1020
0.96540695,1030
0.9656998,1040
0.9659863,1050
0.9662667,1060
0.96654105,1070
0.9668096,1080
0.9670725,1090
0.9673299,1100
0.96758205,1110
0.96782905,1120
0.968071,1130
0.96830803,1140
0.9685404,1150
0.9687682,1160
0.9689914,1170
0.9692104,1180
0.969425,1190
0.9696356,1200
0.9698422,1210
0.97004485,1220
0.97024375,1230
0.9704389,1240
0.97063047,1250
0.9708185,1260
0.9710032,1270
0.9711845,1280
0.97136253,1290
0.9715375,1300
0.97170925,1310
0.9718781,1320
0.972044,1330
0.972207,1340
0.9723673,1350
0.97252476,1360
0.9726797,1370
0.97283196,1380
0.97298175,1390
0.97312903,1400
0.97327393,1410
0.97341645,1420
0.9735567,1430
0.9736947,1440
0.9738305,1450
0.9739642,1460
0.9740958,1470
0.97422534,1480
0.9743529,1490
0.97447854,1500
0.9746023,1510
0.9747241,1520
0.97484416,1530
0.9749624,1540
0.97507894,1550
0.97519374,1560
0.97530687,1570
0.97541845,1580
0.97552836,1590
0.9756367,1600
0.9757436,1610
0.975849,1620
0.97595286,1630
0.9760554,1640
0.9761564,1650
0.97625613,1660
0.97635454,1670
0.97645164,1680
0.9765474,1690
0.9766419,1700
0.97673523,1710
0.97682726,1720
0.9769182,1730
0.977008,1740
0.9770966,1750
0.9771841,1760
0.97727054,1770
0.9773559,1780
0.97744024,1790
0.9775235,1800
0.97760576,1810
0.9776871,1820
0.9777674,1830
0.9778468,1840
0.9779253,1850
0.97800285,1860
0.9780795,1870
0.9781553,1880
0.97823024,1890
0.9783043,1900
0.97837764,1910
0.97845006,1920
0.9785217,1930
0.9785926,1940
0.9786627,1950
0.97873205,1960
0.9788007,1970
0.9788686,1980
0.9789358,1990
0.9790023,2000
0.9790681,2010
0.97913325,2020
0.9791977,2030
0.9792615,2040
0.9793247,2050
0.9793873,2060
0.9794492,2070
0.9795106,2080
0.97957134,2090
0.9796315,2100
0.9796911,2110
0.9797501,2120
0.9798086,2130
0.97986656,2140
0.97992396,2150
0.9799808,2160
0.9800372,2170
0.9800931,2180
0.98014843,2190
0.98020333,2200
0.9802577,2210
0.98031163,2220
0.9803651,2230
0.9804181,2240
0.9804706,2250
0.9805227,2260
0.98057437,2270
0.9806256,2280
0.9806765,2290
0.98072684,2300
0.9807768,2310
0.98082644,2320
0.9808756,2330
0.9809244,2340
0.9809728,2350
0.9810209,2360
0.98106855,2370
0.9811159,2380
0.9811628,2390
0.9812094,2400
0.98125565,2410
0.98130155,2420
0.9813471,2430
0.9813923,2440
0.9814372,2450
0.98148185,2460
0.9815261,2470
0.98157,2480
0.98161364,2490
0.98165697,2500
0.9817,2510
0.98174274,2520
0.9817852,2530
0.9818274,2540
0.9818692,2550
0.9819108,2560
0.98195213,2570
0.9819932,2580
0.982034,2590
0.9820745,2600
0.9821148,2610
0.9821548,2620
0.98219454,2630
0.98223406,2640
0.9822733,2650
0.9823123,2660
0.98235106,2670
0.9823896,2680
0.98242795,2690
0.98246604,2700
0.98250383,2710
0.9825415,2720
0.98257893,2730
0.9826161,2740
0.9826531,2750
0.98268986,2760
0.9827264,2770
0.98276275,2780
0.9827989,2790
0.9828348,2800
0.9828706,2810
0.9829061,2820
0.9829415,2830
0.9829767,2840
0.9830116,2850
0.9830464,2860
0.983081,2870
0.98311543,2880
0.98314965,2890
0.98318374,2900
0.98321766,2910
0.98325133,2920
0.9832849,2930
0.98331827,2940
0.98335147,2950
0.98338455,2960
0.9834174,2970
0.9834501,2980
0.98348266,2990
0.9835151,3000
0.98354733,3010
0.9835794,3020
0.98361135,3030
0.9836432,3040
0.98367476,3050
0.98370624,3060
0.9837376,3070
0.9837688,3080
0.9837999,3090
0.9838308,3100
0.98386157,3110
0.9838922,3120
0.9839227,3130
0.98395306,3140
0.98398334,3150
0.98401344,3160
0.9840434,3170
0.9840732,3180
0.98410296,3190
0.9841325,3200
0.98416203,3210
0.98419136,3220
0.98422056,3230
0.98424965,3240
0.9842786,3250
0.98430747,3260
0.9843362,3270
0.9843648,3280
0.98439336,3290
0.98442173,3300
0.98445,3310
0.9844782,3320
0.98450625,3330
0.98453414,3340
0.984562,3350
0.98458976,3360
0.98461735,3370
0.98464483,3380
0.98467225,3390
0.98469955,3400
0.9847268,3410
0.98475385,3420
0.98478085,3430
0.9848077,3440
0.98483455,3450
0.98486125,3460
0.98488784,3470
0.9849143,3480
