Epoch,Q2,Dev,Loss,Loss_Dev
0,-40.5071,0.6253,0.464,0.0025
1,-1.3771,3.3499,0.3583,0.0239
2,-1.2766,3.4104,0.1173,0.0364
3,0.6215,0.0379,0.0841,0.0163
4,0.7163,0.0518,0.0867,0.015
5,0.7701,0.052,0.0839,0.0159
6,0.8324,0.0251,0.0797,0.0074
9,0.8934,0.0334,0.0783,0.009
10,0.8833,0.0486,0.0754,0.0128
11,0.9051,0.0178,0.0814,0.0086
12,0.8966,0.0261,0.071,0.0053
13,0.9116,0.0277,0.0739,0.0105
14,0.8949,0.0322,0.0737,0.0056
15,0.8989,0.0334,0.0687,0.0066
16,0.889,0.0428,0.0743,0.0095
17,0.9164,0.0127,0.0676,0.0064
18,0.9022,0.0412,0.075,0.0105
19,0.9095,0.0329,0.0642,0.0045
20,0.9129,0.0264,0.0664,0.0055
21,0.9015,0.0326,0.0656,0.0133
22,0.8954,0.0281,0.0652,0.0078
23,0.9208,0.0153,0.0593,0.0054
24,0.9098,0.0393,0.0579,0.0044
26,0.8972,0.028,0.0509,0.0029
27,0.9185,0.0235,0.0535,0.0096
28,0.9007,0.0454,0.0485,0.0026
29,0.9123,0.0299,0.0457,0.0028
30,0.9103,0.0208,0.045,0.0023
31,0.9234,0.0153,0.0448,0.0048
32,0.919,0.0318,0.042,0.0021
33,0.9093,0.024,0.0439,0.0056
34,0.9194,0.0163,0.041,0.005
35,0.9255,0.014,0.0384,0.003
36,0.9173,0.0307,0.0405,0.0055
37,0.9153,0.0288,0.0372,0.0036
38,0.9192,0.0173,0.0366,0.0034
39,0.9183,0.0245,0.0352,0.0049
40,0.9222,0.02,0.0348,0.0071
42,0.9236,0.017,0.0285,0.0018
43,0.93,0.0106,0.0301,0.0042
44,0.9241,0.0151,0.0359,0.0208
45,0.9291,0.0112,0.0282,0.0026
46,0.927,0.0136,0.0271,0.0036
47,0.934,0.0115,0.0259,0.0027
48,0.9319,0.0137,0.0255,0.0031
49,0.9352,0.0145,0.0233,0.0023
50,0.9367,0.0199,0.0237,0.0033
51,0.9282,0.0168,0.0241,0.0033
52,0.9315,0.0124,0.0209,0.0025
53,0.9316,0.0247,0.0251,0.0062
54,0.9327,0.0078,0.0208,0.0024
55,0.9252,0.0175,0.0211,0.0029
56,0.9339,0.0137,0.0199,0.0031
57,0.9291,0.0188,0.0189,0.0018
58,0.9395,0.0098,0.0206,0.0048
59,0.9364,0.0133,0.0199,0.0027
60,0.931,0.02,0.0185,0.002
62,0.9205,0.0183,0.0171,0.0033
63,0.9337,0.0107,0.0174,0.0034
64,0.9334,0.011,0.017,0.0023
65,0.9356,0.0136,0.0173,0.0026
66,0.9353,0.0089,0.0188,0.0096
67,0.93,0.0174,0.0158,0.0034
68,0.9284,0.0134,0.0159,0.0031
69,0.9371,0.0106,0.0156,0.0034
70,0.9335,0.0201,0.0143,0.0019
71,0.9389,0.0071,0.0167,0.0056
72,0.9205,0.0165,0.0142,0.0017
73,0.9374,0.0141,0.0143,0.0015
74,0.9287,0.0145,0.0131,0.0013
75,0.9435,0.0125,0.0142,0.0034
76,0.9398,0.0073,0.0127,0.0018
77,0.923,0.0198,0.0133,0.0025
78,0.937,0.015,0.0119,0.0011
79,0.9355,0.0119,0.0152,0.0038
80,0.9417,0.0123,0.0116,0.0015
81,0.9459,0.0093,0.0137,0.0026
82,0.9405,0.012,0.0129,0.0025
83,0.9255,0.0133,0.0115,0.002
84,0.9334,0.0098,0.0115,0.0025
85,0.9397,0.0065,0.0128,0.0025
86,0.9318,0.0196,0.0123,0.0031
87,0.9304,0.019,0.0115,0.0016
88,0.9312,0.0232,0.0119,0.0027
89,0.9389,0.0102,0.012,0.0022
90,0.9327,0.0097,0.0099,0.0006
91,0.9374,0.0112,0.0105,0.0013
93,0.9339,0.0138,0.0124,0.0024
94,0.9303,0.0101,0.0135,0.0037
95,0.9403,0.0059,0.0115,0.0019
96,0.9362,0.0105,0.0108,0.0027
97,0.931,0.01,0.0117,0.0026
98,0.9353,0.0144,0.012,0.0018
99,0.9371,0.0108,0.0115,0.0034
100,0.9403,0.0075,0.0108,0.0018
