Epoch,Q2,Dev,Loss,Loss_Dev
0,-40.1727,0.6744,0.1759,0.0026
1,-0.8808,2.6474,0.1673,0.0454
2,-0.5682,2.4656,0.0525,0.0257
3,-0.3535,2.4695,0.041,0.0312
4,0.5667,0.0467,0.0309,0.006
7,0.7746,0.0316,0.0305,0.008
8,0.8078,0.0334,0.0314,0.0063
9,0.8036,0.0603,0.0316,0.0051
10,0.8569,0.0389,0.0297,0.0043
11,0.8531,0.0569,0.0281,0.0038
12,0.8871,0.0273,0.0349,0.0088
14,0.8836,0.0291,0.0372,0.0102
15,0.8921,0.026,0.0338,0.0078
16,0.8919,0.0439,0.0345,0.0061
17,0.9007,0.0274,0.0306,0.0056
18,0.8896,0.0361,0.0316,0.0067
19,0.91,0.0246,0.0312,0.0076
20,0.9147,0.0312,0.0289,0.0062
21,0.8943,0.0238,0.0319,0.0087
23,0.9004,0.029,0.0245,0.0032
24,0.8857,0.0277,0.0243,0.0024
25,0.8948,0.0346,0.0233,0.0036
26,0.8832,0.0263,0.0235,0.0036
27,0.8917,0.0287,0.0214,0.0024
28,0.8781,0.0594,0.0207,0.0032
30,0.8952,0.0249,0.0211,0.0039
31,0.891,0.0315,0.0214,0.0032
32,0.8917,0.0246,0.0203,0.0052
33,0.8875,0.0357,0.0187,0.0027
35,0.9001,0.0271,0.0179,0.0024
36,0.8999,0.0168,0.0197,0.0069
37,0.9081,0.0108,0.0184,0.0028
38,0.88,0.0263,0.0225,0.0121
39,0.8869,0.0269,0.0167,0.0039
40,0.8943,0.0273,0.0157,0.0026
41,0.8844,0.0265,0.0163,0.004
42,0.8868,0.0331,0.0156,0.0011
43,0.891,0.0367,0.0157,0.0029
45,0.8921,0.0257,0.017,0.0071
46,0.8923,0.0287,0.0151,0.0035
47,0.9017,0.0105,0.015,0.0033
48,0.8945,0.0161,0.0141,0.0018
49,0.8904,0.0272,0.0154,0.0048
50,0.8912,0.0306,0.0162,0.0091
51,0.8869,0.0231,0.015,0.0058
52,0.9002,0.011,0.0124,0.0027
54,0.8829,0.0303,0.0121,0.0032
55,0.8965,0.0184,0.0117,0.003
56,0.8948,0.0164,0.0116,0.0018
57,0.8931,0.022,0.0106,0.0023
58,0.8825,0.0205,0.0103,0.0018
59,0.8816,0.0299,0.0115,0.0049
60,0.8912,0.0289,0.0121,0.0054
61,0.8963,0.0172,0.0104,0.0028
62,0.9053,0.0135,0.011,0.007
63,0.8939,0.0161,0.009,0.0018
64,0.8986,0.0197,0.0121,0.0088
65,0.8952,0.0149,0.0095,0.0026
66,0.9011,0.0224,0.0084,0.0015
67,0.8952,0.027,0.0078,0.0014
68,0.8968,0.0184,0.0108,0.0102
69,0.8777,0.0232,0.008,0.0009
70,0.8737,0.035,0.0093,0.0033
71,0.8969,0.0183,0.0083,0.002
72,0.9063,0.0174,0.0086,0.0017
73,0.8958,0.0222,0.0087,0.0045
74,0.8882,0.0308,0.0082,0.0026
75,0.8928,0.0254,0.0079,0.0028
76,0.8958,0.0205,0.0075,0.0018
77,0.9014,0.023,0.0065,0.0015
78,0.8929,0.031,0.0071,0.0019
79,0.9014,0.025,0.0077,0.0017
80,0.903,0.0229,0.0059,0.0008
81,0.901,0.0247,0.0069,0.0011
82,0.9074,0.0292,0.0065,0.0028
83,0.9048,0.0126,0.0063,0.0013
84,0.9097,0.0218,0.0059,0.0011
85,0.9126,0.0185,0.0063,0.0019
86,0.898,0.0182,0.0062,0.0018
87,0.9069,0.0118,0.0068,0.0019
88,0.9006,0.0177,0.0056,0.001
89,0.91,0.017,0.0086,0.0049
90,0.8929,0.0264,0.0073,0.003
91,0.8955,0.0182,0.0069,0.0024
92,0.8886,0.0181,0.0063,0.0022
93,0.9013,0.0237,0.0071,0.0036
94,0.899,0.0216,0.0056,0.0016
95,0.9015,0.025,0.0064,0.0018
96,0.908,0.0173,0.0052,0.0011
97,0.9121,0.0179,0.0058,0.002
98,0.8971,0.0172,0.0058,0.0018
99,0.897,0.0103,0.0054,0.0013
100,0.9101,0.026,0.0049,0.0009
